"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",94.1,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.37,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",46.77,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.04,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",95.43,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.27,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",975.15,"bereinigt"
"2009-01-01T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",94,"bereinigt"
"2009-01-01T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",4.33,"bereinigt"
"2009-01-01T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.5,"bereinigt"
"2009-01-01T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",343.93,"bereinigt"
"2009-01-01T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.24,"bereinigt"
"2009-01-01T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",94.37,"bereinigt"
"2009-01-01T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.35,"bereinigt"
"2009-01-01T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",975.23,"bereinigt"
"2009-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",94.3,"bereinigt"
"2009-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",60,"bereinigt"
"2009-01-01T02:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.17,"bereinigt"
"2009-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",31.12,"bereinigt"
"2009-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.43,"bereinigt"
"2009-01-01T02:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",95.23,"bereinigt"
"2009-01-01T02:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.85,"bereinigt"
"2009-01-01T02:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.27,"bereinigt"
"2009-01-01T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",94.05,"bereinigt"
"2009-01-01T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",38.65,"bereinigt"
"2009-01-01T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.17,"bereinigt"
"2009-01-01T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",15.82,"bereinigt"
"2009-01-01T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.2,"bereinigt"
"2009-01-01T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",94.88,"bereinigt"
"2009-01-01T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.8,"bereinigt"
"2009-01-01T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.9,"bereinigt"
"2009-01-01T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",90.88,"bereinigt"
"2009-01-01T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.35,"bereinigt"
"2009-01-01T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",29,"bereinigt"
"2009-01-01T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.15,"bereinigt"
