Jahr,Monat,Tag,Tagesdatum,Zweirad,Personenwagen,Lastwagen,Hr,RainDur,T,WVs,StrGlo,p,NO2,NO,NOx,O3,CO,PM10,SO2
2007,01,01,2007-01-01,,,,77.667,594.530,9.142,3.425,6.485,971.917,21.498,3.023,13.665,48.406,0.285,14.772,4.238
2007,01,02,2007-01-02,,,,80.730,623.100,3.980,3.578,20.031,971.885,13.124,1.970,8.441,61.660,0.250,,2.226
2007,01,03,2007-01-03,,,,74.583,54.460,4.872,2.480,48.243,979.098,23.915,5.829,17.178,43.292,0.337,15.905,3.050
2007,01,04,2007-01-04,,,,71.487,214.560,6.363,3.366,17.398,968.689,24.095,5.056,16.653,43.067,0.307,10.688,3.855
2007,01,05,2007-01-05,,,,70.061,126.200,7.076,3.125,24.677,973.595,20.478,3.177,13.254,58.091,0.289,10.397,2.478
2007,01,06,2007-01-06,,,,67.392,1.470,7.959,2.371,30.169,973.345,27.705,6.470,19.675,39.818,0.360,12.126,4.442
2007,01,07,2007-01-07,,,,85.079,536.070,8.276,2.125,14.422,970.356,28.482,8.061,21.358,34.179,0.403,11.656,3.881
2007,01,08,2007-01-08,,,,75.533,43.040,8.565,3.225,21.749,964.062,28.450,12.151,24.618,30.197,0.377,11.345,4.345
2007,01,09,2007-01-09,,,,85.717,435.130,8.993,2.580,19.944,969.191,43.484,30.273,47.011,19.671,0.576,13.738,5.485
2007,01,10,2007-01-10,,,,78.614,0.000,9.807,2.071,58.022,970.862,39.373,38.096,51.134,12.781,0.584,26.762,5.867
2007,01,11,2007-01-11,,,,58.792,47.340,11.322,5.368,42.051,972.632,14.738,3.595,10.589,54.195,0.235,12.270,1.930
2007,01,12,2007-01-12,,,,68.497,254.040,9.229,3.274,15.569,977.061,26.537,5.582,18.351,45.936,0.321,20.776,2.239
2007,01,13,2007-01-13,,,,71.687,0.000,7.697,1.194,67.043,975.847,42.240,35.609,50.638,17.645,0.667,24.724,8.489
2007,01,14,2007-01-14,,,,76.346,0.000,7.884,0.941,36.229,978.711,38.111,29.419,43.517,16.626,0.623,19.094,8.474
2007,01,15,2007-01-15,,,,85.159,0.000,4.143,1.470,25.765,976.669,43.764,36.473,52.126,6.495,0.582,28.852,4.830
2007,01,16,2007-01-16,,,,81.530,0.000,5.497,2.069,45.664,973.091,47.675,36.541,54.227,6.870,0.668,40.711,5.945
2007,01,17,2007-01-17,,,,65.415,28.460,9.581,2.856,36.165,971.234,38.980,16.497,33.612,26.563,0.435,28.607,5.238
2007,01,18,2007-01-18,,,,60.797,131.290,12.049,7.194,15.095,964.048,11.207,2.177,7.604,58.420,0.218,11.607,1.416
2007,01,19,2007-01-19,,,,71.292,96.410,13.098,6.796,33.733,969.462,9.762,1.820,6.565,54.068,0.213,3.900,0.841
2007,01,20,2007-01-20,,,,66.640,0.000,11.906,3.223,63.233,971.087,13.038,2.284,8.650,47.387,0.236,10.555,1.689
2007,01,21,2007-01-21,,,,61.504,218.410,8.463,3.092,22.389,967.632,15.157,2.165,9.662,57.978,0.257,14.947,2.460
