Jahr,Monat,Tag,Tagesdatum,Zweirad,Personenwagen,Lastwagen,Hr,RainDur,T,WVs,StrGlo,p,NO2,NO,NOx,O3,CO,PM10,SO2
2007,1,1,2007-01-01,408,5552,131,77.667,594.530,9.142,3.425,6.485,971.917,21.498,3.023,13.665,48.406,0.285,14.772,4.238
2007,1,2,2007-01-02,235,5209,143,80.730,623.100,3.980,3.578,20.031,971.885,13.124,1.970,8.441,61.660,0.250,10.833,2.226
2007,1,3,2007-01-03,454,5032,142,74.583,54.460,4.872,2.480,48.243,979.098,23.915,5.829,17.178,43.292,0.337,15.905,3.050
2007,1,4,2007-01-04,491,5711,158,71.487,214.560,6.363,3.366,17.398,968.689,24.095,5.056,16.653,43.067,0.307,10.688,3.855
2007,1,5,2007-01-05,497,5563,174,70.061,126.200,7.076,3.125,24.677,973.595,20.478,3.177,13.254,58.091,0.289,10.397,2.478
2007,1,6,2007-01-06,535,5245,132,67.392,1.470,7.959,2.371,30.169,973.345,27.705,6.470,19.675,39.818,0.360,12.126,4.442
2007,1,7,2007-01-07,333,5725,148,85.079,536.070,8.276,2.125,14.422,970.356,28.482,8.061,21.358,34.179,0.403,11.656,3.881
2007,1,8,2007-01-08,621,6175,176,75.533,43.040,8.565,3.225,21.749,964.062,28.450,12.151,24.618,30.197,0.377,11.345,4.345
2007,1,9,2007-01-09,440,7576,215,85.717,435.130,8.993,2.580,19.944,969.191,43.484,30.273,47.011,19.671,0.576,13.738,5.485
2007,1,10,2007-01-10,646,5970,148,78.614,0.000,9.807,2.071,58.022,970.862,39.373,38.096,51.134,12.781,0.584,26.762,5.867
2007,1,11,2007-01-11,906,6745,242,58.792,47.340,11.322,5.368,42.051,972.632,14.738,3.595,10.589,54.195,0.235,12.270,1.930
2007,1,12,2007-01-12,633,5982,207,68.497,254.040,9.229,3.274,15.569,977.061,26.537,5.582,18.351,45.936,0.321,20.776,2.239
2007,1,13,2007-01-13,341,5268,61,71.687,0.000,7.697,1.194,67.043,975.847,42.240,35.609,50.638,17.645,0.667,24.724,8.489
2007,1,14,2007-01-14,265,4770,35,76.346,0.000,7.884,0.941,36.229,978.711,38.111,29.419,43.517,16.626,0.623,19.094,8.474
2007,1,15,2007-01-15,460,5647,160,85.159,0.000,4.143,1.470,25.765,976.669,43.764,36.473,52.126,6.495,0.582,28.852,4.830
2007,1,16,2007-01-16,458,6265,167,81.530,0.000,5.497,2.069,45.664,973.091,47.675,36.541,54.227,6.870,0.668,40.711,5.945
2007,1,17,2007-01-17,713,6079,170,65.415,28.460,9.581,2.856,36.165,971.234,38.980,16.497,33.612,26.563,0.435,28.607,5.238
2007,1,18,2007-01-18,950,8090,309,60.797,131.290,12.049,7.194,15.095,964.048,11.207,2.177,7.604,58.420,0.218,11.607,1.416
2007,1,19,2007-01-19,986,8275,320,71.292,96.410,13.098,6.796,33.733,969.462,9.762,1.820,6.565,54.068,0.213,3.900,0.841
2007,1,20,2007-01-20,849,5051,167,66.640,0.000,11.906,3.223,63.233,971.087,13.038,2.284,8.650,47.387,0.236,10.555,1.689
2007,1,21,2007-01-21,555,4641,135,61.504,218.410,8.463,3.092,22.389,967.632,15.157,2.165,9.662,57.978,0.257,14.947,2.460
2007,1,22,2007-01-22,463,5686,107,69.040,19.590,5.107,2.042,36.166,962.742,44.515,29.931,47.275,22.317,0.509,20.829,7.685
2007,1,23,2007-01-23,395,6347,198,79.536,199.940,1.701,4.126,9.693,950.231,24.907,11.116,21.936,35.460,0.355,12.950,3.353
2007,1,24,2007-01-24,54,4652,61,83.746,405.260,-3.468,2.118,15.185,951.769,35.478,9.633,26.276,20.494,0.377,15.914,6.680
2007,1,25,2007-01-25,92,5098,68,74.308,0.450,-4.198,2.662,33.338,962.721,38.890,16.645,33.683,24.352,0.465,21.457,7.870
2007,1,26,2007-01-26,34,4370,0,71.617,19.980,-3.907,1.512,37.936,970.232,47.756,20.617,41.503,20.555,0.490,26.141,10.187
2007,1,27,2007-01-27,150,4650,66,70.519,1.310,-0.789,2.053,34.975,977.148,35.816,6.061,23.588,36.117,0.411,21.785,6.680
2007,1,28,2007-01-28,250,4449,29,71.302,0.000,2.213,2.019,83.527,978.950,34.063,5.964,22.594,40.482,0.393,24.040,7.670
2007,1,29,2007-01-29,218,5377,44,65.951,3.780,3.339,1.415,84.695,973.855,49.383,28.766,48.885,30.242,0.615,28.968,9.805
2007,1,30,2007-01-30,141,6164,20,76.157,0.000,2.387,1.585,83.237,971.973,62.801,59.575,80.604,10.021,0.812,38.202,13.407
2007,1,31,2007-01-31,179,4931,52,84.645,0.000,0.867,1.090,21.600,972.049,56.782,34.945,57.710,7.724,0.633,49.034,9.199
2007,2,1,2007-02-01,308,6318,168,83.544,125.850,2.880,1.346,27.379,975.786,57.134,33.090,56.405,10.840,0.654,42.270,6.255
2007,2,2,2007-02-02,351,5482,128,78.880,0.000,4.135,1.121,51.284,978.045,48.511,38.742,56.430,14.136,0.670,39.998,6.121
