Jahr;Zweirad;Personenwagen;Lastwagen;Hr;RainDur;T;WVs;StrGlo;p;NO2;NO;NOx;O3;CO;PM10;SO2
2007;769.8763736;6133.343407;180.8021978;68.83683516;142.3740687;11.74140385;1.977478022;113.76325;967.2205879;35.39420879;17.55002198;32.57928297;44.47778297;0.431442308;24.26243956;3.802527473
2008;701.6324786;5984.504274;145.2264957;71.17834188;126.2271325;9.310534188;1.671179487;106.3410983;968.4680855;37.64519231;23.99001282;38.91958547;36.48799573;0.436876068;24.19486752;3.858495726
2009;812.4967949;6252.894231;173.7115385;69.77936538;137.2233526;11.63208333;1.705948718;132.7528462;965.9449199;37.25251603;19.9640641;35.48653846;41.45614103;0.460003205;23.54095833;2.410705128
2010;801.3150685;6695.712329;218.2739726;70.54766575;168.4628219;10.41117534;1.777668493;127.9873342;963.6167068;36.17480548;18.64129863;33.86251233;42.96336986;0.446671233;22.28487945;2.537356164
2011;838.1369863;6400.254795;239.4630137;68.83833151;116.175863;12.0446274;1.640838356;143.6577644;967.9861726;35.29839452;21.98046027;36.08118082;40.22684932;0.416427397;22.20581644;1.766652055
2012;845.6693989;6398.811475;216.1448087;71.68778142;186.14;11.27631421;1.707759563;136.0826421;966.713571;33.98667213;19.13795628;33.11628962;42.39815027;0.376229508;19.70650273;2.327103825
2013;829.2575342;6698.805479;303.5561644;71.77369863;167.651726;10.68553973;1.719813699;127.5653863;965.6197315;33.79379726;20.79085205;34.34071233;43.35069589;0.383783562;22.30490411;1.951758904
2014;915.2356164;6317.720548;240.5424658;71.12829315;155.5772329;12.22522192;1.550967123;135.3278164;965.0804082;33.06533973;19.55173425;32.96631507;40.62747123;0.360378082;17.05293973;2.053769863
2015;911.3643836;6131.975342;186.7369863;67.95426849;128.1751781;12.19549315;1.693350685;142.5695315;968.7318521;33.55007123;20.7867589;34.20991233;44.58191233;0.349446575;17.6248411;1.835052055
2016;897.8278689;5835.737705;195.5819672;72.15001366;170.0187432;11.51427596;1.64413388;132.1819044;967.0034754;31.41351639;19.07129781;31.71725956;41.31948087;0.317612022;16.13331148;1.529953552
2017;918.5917808;5622;238.5205479;68.91758082;135.894;11.85766849;1.642460274;142.1766356;967.8699123;30.44353425;14.23029315;27.32885205;45.25708767;0.302076712;15.86100822;1.054432877
2018;977.1652893;5725.415978;214.3581267;67.66981543;114.3022314;12.84284848;1.891195592;145.7997273;965.4556116;28.4495978;13.05282369;25.34211019;51.21366942;0.309242424;17.98358953;1.151033058
2019;1004.010959;4978.947945;165.2794521;68.72797808;136.9386849;12.13890685;1.903254795;142.5462767;965.8781808;26.28047671;11.68750959;23.11326027;48.36526027;0.260243836;15.09072329;1.210350685
2020;1219.502732;3763.215847;91.49453552;66.27733607;120.5435792;12.65128689;1.907352459;146.9779918;966.9263852;22.18608197;10.76116667;20.22943443;48.66279781;0.264980874;13.78306011;1.314535519
2021;1085.531507;3671.49863;180.9287671;69.8727863;143.9278904;11.31774521;1.84529863;137.8836685;966.7199397;21.98780822;9.014150685;18.72515068;46.94511233;0.206761644;14.34078356;1.101186301
